Latitude,Longitude,Voivodeship
50.1508247,16.6695576,Dolnośląskie
50.3006595,16.6447238,Dolnośląskie
50.302128,16.8761242,Dolnośląskie
50.3412845,16.8733629,Dolnośląskie
50.4052872,16.512942,Dolnośląskie
50.4069885,16.3847351,Dolnośląskie
50.4179679,16.4475418,Dolnośląskie
50.4351657,16.2352386,Dolnośląskie
50.4370783,16.6615589,Dolnośląskie
50.438273,16.6386791,Dolnośląskie
50.4417073,16.2402306,Dolnośląskie
50.4461875,16.8731167,Dolnośląskie
50.4535246,16.6380697,Dolnośląskie
50.5054545,16.7325587,Dolnośląskie
50.5204114,16.4929655,Dolnośląskie
50.5256131,16.8840408,Dolnośląskie
50.5488335,16.5493811,Dolnośląskie
50.5810428,16.4971091,Dolnośląskie
50.5897201,16.5093644,Dolnośląskie
50.5903342,16.8273897,Dolnośląskie
50.59337,16.811215,Dolnośląskie
50.5959137,16.8043358,Dolnośląskie
50.6044618,17.0441059,Dolnośląskie
50.6773879,16.6036066,Dolnośląskie
50.6820043,16.6327687,Dolnośląskie
50.6823218,16.7506792,Dolnośląskie
50.6847934,16.6170462,Dolnośląskie
50.6850736,16.3722918,Dolnośląskie
50.6931113,16.6289532,Dolnośląskie
50.7084103,16.8297593,Dolnośląskie
50.7125626,16.0036677,Dolnośląskie
50.7156564,16.5863162,Dolnośląskie
50.7225872,16.3476039,Dolnośląskie
50.7255963,16.6451977,Dolnośląskie
50.7312107,16.6515188,Dolnośląskie
50.7478682,16.2950077,Dolnośląskie
50.7557435,16.2054158,Dolnośląskie
50.757487,16.2136855,Dolnośląskie
50.7626295,16.2794321,Dolnośląskie
50.7647971,16.1632702,Dolnośląskie
50.7660766,16.2547125,Dolnośląskie
50.7678335,16.2844541,Dolnośląskie
50.7751643,15.755903,Dolnośląskie
50.7763353,16.299617,Dolnośląskie
50.7782202,16.5967813,Dolnośląskie
50.7799979,16.0182623,Dolnośląskie
50.7808006,16.0309382,Dolnośląskie
50.781591,15.7634495,Dolnośląskie
50.7822512,17.0613233,Dolnośląskie
50.7841132,16.0456155,Dolnośląskie
50.784482,16.4683932,Dolnośląskie
50.7869842,17.0702302,Dolnośląskie
50.7925137,16.8438649,Dolnośląskie
