Latitude,Longitude,Voivodeship
51.0995447,17.0235933,Dolnośląskie
50.4936352,18.9121517,Śląskie
50.2923579,16.8730856,Dolnośląskie
51.7883032,14.9518754,Lubuskie
50.7712682,16.1294586,Dolnośląskie
52.8082994,18.0907524,Kujawsko-pomorskie
52.3939516,20.5327827,Mazowieckie
54.0802488,19.9047238,Warmińsko-mazurskie
53.3678255,17.333603,Kujawsko-pomorskie
51.3679908,19.3816194,Łódzkie
51.5904251,18.9259058,Łódzkie
52.364505,15.8700908,Lubuskie
52.5128122,16.7546091,Wielkopolskie
51.2675756,17.3478476,Dolnośląskie
50.7654548,16.1623529,Dolnośląskie
51.953488,14.7232046,Lubuskie
50.4820527,20.0282236,Małopolskie
51.0410048,16.1870848,Dolnośląskie
51.3007398,16.915586,Dolnośląskie
53.9973476,18.7687505,Pomorskie
50.1068184,19.3791851,Małopolskie
50.6827601,16.6108059,Dolnośląskie
50.8891817,15.7336047,Dolnośląskie
50.6488076,17.9778858,Opolskie
50.1591912,19.2498797,Śląskie
51.7912624,19.5246525,Łódzkie
50.0437527,18.6976906,Śląskie
50.0918314,18.2115748,Śląskie
52.0040081,16.3024314,Wielkopolskie
53.0988279,16.8817659,Wielkopolskie
52.8022309,18.246743,Kujawsko-pomorskie
51.70671,18.6184219,Łódzkie
50.1174917,20.8891754,Małopolskie
53.1622135,16.6192601,Wielkopolskie
51.8242625,16.5810463,Wielkopolskie
53.0341299,15.6669017,Zachodniopomorskie
53.2144334,15.7674976,Zachodniopomorskie
51.5040964,15.2019926,Lubuskie
52.2156863,17.6275082,Wielkopolskie
51.4716634,16.9087869,Dolnośląskie
52.4528273,16.1869478,Wielkopolskie
51.6402535,17.7958973,Wielkopolskie
52.2462513,15.5337496,Lubuskie
51.7846434,18.0889827,Wielkopolskie
50.1432289,16.6629376,Dolnośląskie
51.0283023,15.4234514,Dolnośląskie
51.2137422,17.3989911,Dolnośląskie
51.3600967,22.1174438,Lubelskie
52.7971356,16.7378708,Wielkopolskie
52.6482558,19.0801907,Kujawsko-pomorskie
50.3958316,16.5208663,Dolnośląskie
52.0762351,16.0506043,Wielkopolskie
51.1925852,15.3973874,Dolnośląskie
50.7970325,21.2316101,Świętokrzyskie
51.7165971,17.7284134,Wielkopolskie
51.9497876,21.7558925,Mazowieckie
51.2493944,21.0670017,Mazowieckie
51.0302166,18.4221737,Opolskie
51.2366579,18.5350457,Łódzkie
52.8113334,15.8751748,Lubuskie
51.1392272,18.5167854,Łódzkie
51.233461,15.6632087,Dolnośląskie
52.055812,15.1117482,Lubuskie
51.6703854,17.7869078,Wielkopolskie
51.656323,17.791473,Wielkopolskie
52.7546033,15.1130816,Lubuskie
50.6725662,18.910216,Śląskie
50.7086647,18.7501365,Śląskie
52.8556355,15.6629557,Lubuskie
51.3367472,16.6382679,Dolnośląskie
51.5215332,20.0192475,Łódzkie
51.1123777,20.9021969,Świętokrzyskie
52.2419126,19.3590853,Łódzkie
51.8374837,15.7109519,Lubuskie
52.2341261,19.3736209,Łódzkie
52.2184754,19.3702254,Łódzkie
50.9786548,18.2077389,Opolskie
50.9734224,18.1918737,Opolskie
50.5647501,18.8843583,Śląskie
51.9625597,16.8222392,Wielkopolskie
51.7224987,19.4429245,Łódzkie
50.57534,18.0922115,Opolskie
51.6051156,18.9318595,Łódzkie
51.4255977,15.8897867,Dolnośląskie
52.4431683,17.7631698,Wielkopolskie
52.2569438,15.9047922,Wielkopolskie
50.8749539,15.806014,Dolnośląskie
51.8114084,19.3400193,Łódzkie
53.8457611,19.6131453,Warmińsko-mazurskie
50.184835,18.7596863,Śląskie
51.7736409,16.9764262,Wielkopolskie
52.3139255,15.0789627,Lubuskie
50.873692,15.9205968,Dolnośląskie
51.5732158,17.6713332,Wielkopolskie
51.8070064,16.3278306,Lubuskie
52.8597889,22.7169411,Podlaskie
52.0441095,17.7659691,Wielkopolskie
51.1466888,18.608956,Łódzkie
50.45962,17.3451824,Opolskie
51.6579314,16.1084567,Dolnośląskie
50.8214416,16.2810262,Dolnośląskie
52.2413688,15.8157234,Lubuskie
51.340676,18.2517588,Łódzkie
