Latitude,Longitude,Voivodeship
49.7163451,19.0272177,Śląskie
49.9501977,18.5753959,Śląskie
50.2417666,18.8461481,Śląskie
50.2813524,18.6696401,Śląskie
50.2863728,18.7306806,Śląskie
50.2919009,19.176223,Śląskie
50.2983808,16.8765915,Dolnośląskie
50.2996826,18.8237475,Śląskie
50.3062536,18.7562086,Śląskie
50.3738331,18.9471276,Śląskie
50.3800847,18.8117258,Śląskie
50.3949623,18.8717577,Śląskie
50.4239145,18.1249156,Opolskie
50.4289719,18.1826915,Opolskie
50.4612692,17.0072351,Opolskie
50.4902318,18.0221916,Opolskie
50.4914319,19.4261959,Śląskie
50.492505,18.9177408,Śląskie
50.604649,18.4870724,Opolskie
50.6414856,17.6306345,Opolskie
50.6541863,18.3843593,Opolskie
50.6618916,17.8891016,Opolskie
50.6709046,16.1927801,Dolnośląskie
50.6720655,17.970268,Opolskie
50.6764823,18.217991,Opolskie
50.6863935,16.6144756,Dolnośląskie
50.7259257,17.9001611,Opolskie
50.7482814,17.6189548,Opolskie
50.7728609,16.2998288,Dolnośląskie
50.7788595,18.9603447,Śląskie
50.8107035,17.2016523,Dolnośląskie
50.8252417,16.2777243,Dolnośląskie
50.841783,16.5068851,Dolnośląskie
50.8434759,16.4920047,Dolnośląskie
50.8448057,19.1280341,Śląskie
50.8566881,15.7749772,Dolnośląskie
50.8585598,17.4776161,Opolskie
50.8615882,16.3223028,Dolnośląskie
50.8745705,18.4266912,Opolskie
50.898224,16.7490298,Dolnośląskie
50.9126313,18.9398744,Śląskie
50.9183063,15.7479687,Dolnośląskie
50.9676125,18.740898,Śląskie
51.0161549,18.0529573,Opolskie
51.0324871,16.7609203,Dolnośląskie
51.0489404,16.1982195,Dolnośląskie
51.0753065,17.7079165,Opolskie
51.0852232,16.9081338,Dolnośląskie
51.1108208,15.5807995,Dolnośląskie
51.113399,16.9542419,Dolnośląskie
51.1140295,18.2187624,Opolskie
51.1247018,16.9497479,Dolnośląskie
51.2103,19.3155141,Łódzkie
51.2109632,17.3909339,Dolnośląskie
51.2555311,15.5670046,Dolnośląskie
51.26309,15.5687973,Dolnośląskie
51.2808316,17.9803876,Wielkopolskie
51.2956451,18.1631182,Łódzkie
