Voivodeship,Population,Size,Biedronka,Chata Polska,Delikatesy Centrum,Dino,Lewiatan,Polomarket,Żabka
Dolnośląskie,2898525,18847,277,22,104,208,82,31,737
Kujawsko-Pomorskie,2069273,17972,158,0,16,147,88,44,350
Lubelskie,2103342,25112,146,0,67,30,147,5,286
Lubuskie,1010177,13988,99,31,44,145,64,6,205
Łódzkie,2448713,18219,173,1,38,189,43,13,591
Małopolskie,3413931,15183,193,0,187,46,241,0,641
Mazowieckie,5428031,35558,384,1,82,168,195,6,1388
Opolskie,980771,9412,82,0,29,88,52,17,155
Podkarpackie,2125901,17846,142,0,220,2,56,0,202
Podlaskie,1176576,20187,98,0,11,24,75,3,167
Pomorskie,2346717,18321,218,1,28,64,125,35,646
Śląskie,4508078,12333,381,0,105,132,298,17,1198
Świętokrzyskie,1230044,11711,73,0,73,77,81,0,198
Warmińsko-Mazurskie,1420514,24173,124,0,27,50,93,18,230
Wielkopolskie,3500361,29826,273,72,52,463,125,54,682
Zachodniopomorskie,1693219,22897,155,11,16,119,82,27,447
